Sr. No.,Place,State in India/Country,Body part or ornament,Shakti,Bhairava,place_extracted,Location
1,"A. Amarnath Temple, from Srinagar through Pahalgam 94 km by Bus, Chandanwari 16 km by walk B. Shri Parvat in Ladakh",Jammu and Kashmir,A. Throat B. Anklet,Mahamaya Devi,Trisandhyeshwar (Amarnath),"A. Amarnath Temple, from Srinagar through Pahalgam 94 km by Bus, Chandanwari 16 km by walk","Pahalgam, Jammu and Kashmir, India"
1,"A. Amarnath Temple, from Srinagar through Pahalgam 94 km by Bus, Chandanwari 16 km by walk B. Shri Parvat in Ladakh",Jammu and Kashmir,A. Throat B. Anklet,Mahamaya Devi,Trisandhyeshwar (Amarnath),B. Shri Parvat in Ladakh,"Ladakh, Jammu and Kashmir, India"
2,Attahas Temple – At a village also named as Attahas or Ashtahas around 2 km east of Labhpur village road in the district of Birbhum,West Bengal,Lips,Phullara Devi,Vishveshwar,Attahas Temple – At a village also named as Attahas or Ashtahas around 2 km east of Labhpur village road in the district of Birbhum,"Labhpur village, Birbhum, West Bengal, India"
3,"Bahula Temple at Ketugram, 8 km from Katwa, Purba Bardhaman",West Bengal,Left arm,Goddess Bahuladevi,Bhirukeshwar[27],"Bahula Temple at Ketugram, 8 km from Katwa, Purba Bardhaman","Ketugram, Purba Bardhaman, West Bengal, India"
4,"Bakreshwar, on the banks of Paaphara river, 24 km distance from Siuri Town [a district headquarter], district Birbhum, 7 km from Dubrajpur Rly. Station",West Bengal,Portion between the eyebrows,Mahishamardini devi,Vakranatheshwar,"Bakreshwar, on the banks of Paaphara river, 24 km distance from Siuri Town [a district headquarter], district Birbhum, 7 km from Dubrajpur Rly. Station","Siuri Town, Birbhum district, West Bengal, India"
5,"Avanti, also known as Harsiddhi, at Bhairav hills on the banks of Shipra river in the city of Ujjaini.",Madhya Pradesh,Elbow,Avanti Devi,Lambkarneshwar,"Avanti, also known as Harsiddhi, at Bhairav hills on the banks of Shipra river in the city of Ujjaini.","Ujjaini, Madhya Pradesh, India"
6,"Bhabanipur, located in the Upazila of Sherpur, Bogra, Rajshahi Division. Also located at Karatoyatat, it is about 28 km distance from the town of Sherpur.","Rajshahi Division, Bangladesh",Left anklet (ornament),Aparna Devi,Vamaneshwar,"Bhabanipur, located in the Upazila of Sherpur, Bogra, Rajshahi Division. Also located at Karatoyatat, it is about 28 km distance from the town of Sherpur.","Sherpur Upazila, Bogra, Bangladesh"
7,"Biraja Temple at Jajpur, in Jajpur District",Odisha,Navel,Biraja Devi,Varaheshwar (Baraha),"Biraja Temple at Jajpur, in Jajpur District","Jajpur, Odisha, India"
8,Muktinath Temple[28],Nepal,Head,Gandaki Chandi,Chakrapani,Muktinath Temple[28],"Mustang, Nepal"
9,Goddess Bhadrakali on banks of Godavari in Nashik city (Saptashrungi),Maharashtra,Chin (2 parts),Bhadrakali devi,Vikritaksheshwar,Goddess Bhadrakali on banks of Godavari in Nashik city (Saptashrungi),"Nashik, Maharashtra, India"
10,Hinglaj Mata Temple,Pakistan,Bramharandhra (Part of the head),Kottari Devi,Bhimalochaneshwar,Hinglaj Mata Temple,"Hinglaj, Lasbela, Balochistan, Pakistan"
11,Jayanti at Nartiang village in the Jaintia Hills district. This Shakta pitha is locally known as the Nartiang Durga Temple.,Meghalaya,Left thigh,Jayanti Devi,Kramadishwar,Jayanti at Nartiang village in the Jaintia Hills district. This Shakta pitha is locally known as the Nartiang Durga Temple.,"Jaintia Hills, Meghalaya, India"
12,Jeshoreshwari Kali Temple,Bangladesh,Palms of hands and soles of the feet,Jashoreshwari,Chandeshwar,Jeshoreshwari Kali Temple,"Ishwaripur, Satkhira, Bangladesh"
13,"Jwalaji, Kangra from Pathankot alight at Jwalamukhi Road Station from there 20 km",Himachal Pradesh,Tongue,Jwalamukhi (Ambika),Unmatta Bhairaveshwar,"Jwalaji, Kangra from Pathankot alight at Jwalamukhi Road Station from there 20 km","Kangra District, Himachal Pradesh, India"
14,"Kalipeeth, (Kalighat, Kolkata)",West Bengal,Right toes,Kali Devi,Nakuleshwar,"Kalipeeth, (Kalighat, Kolkata)","Kalighat, Kolkata, West Bengal, India"
15,"Kamgiri, Kamakhya, in the Neelachal hills in Guwahati",Assam,Genitals,Kamakhya Devi,Umanandeshwar or Bhayanandeshwar,"Kamgiri, Kamakhya, in the Neelachal hills in Guwahati","Guwahati, Assam, India"
16,"Kankalitala, on the banks of Kopai River 10 km north-east of Bolpur station in Birbhum district, Devi locally known as Kankaleshwari",West Bengal,waist,Devgarbha Devi,Rurunatheshwar,"Kankalitala, on the banks of Kopai River 10 km north-east of Bolpur station in Birbhum district, Devi locally known as Kankaleshwari","Bolpur, Birbhum, West Bengal, India"
17,"A Kanyashram of Balaambika – The Bhagavathy temple in Kanyakumari, the southernmost tip of mainland India, Tamil Nadu",Tamil Nadu,Back,Sarvani,Nimisheshwar,"A Kanyashram of Balaambika – The Bhagavathy temple in Kanyakumari, the southernmost tip of mainland India, Tamil Nadu","Kanniyakumari, Tamil Nadu, India"
18,"Vajreshwari Temple, Nagarkot, district Kangra",Himachal Pradesh,left Breast,Jayadurga Devi,Abhirunatheshwar,"Vajreshwari Temple, Nagarkot, district Kangra","Nagarkot, Kangra, Himachal Pradesh, India"
19,"Kiriteswari Temple at Kiritkona village, 3 km from Lalbag Court Road railway station in Murshidabad district",West Bengal,Crown,Vimala Devi,Sanvarteshwar,"Kiriteswari Temple at Kiritkona village, 3 km from Lalbag Court Road railway station in Murshidabad district","Kiritkona, Murshidabad, West Bengal, India"
20,"Ratnavali, on the banks of Ratnakar river at Khanakul I Krishnanagar, district Hooghly (locally known as Anandamayee Tala)",West Bengal,Right Shoulder,Kumari Devi,Ghanteshwar,"Ratnavali, on the banks of Ratnakar river at Khanakul I Krishnanagar, district Hooghly (locally known as Anandamayee Tala)","Krishnanagar,  Hooghly, West Bengal, India"
21,Locally known as Trishrota/Bhramari Devi in Jalpaiguri near a small village Boda on the bank of river Teesta or Tri-shrota (combination of three flows) mentioned in Puranas,West Bengal,Left leg,Bhramari Devi,Ambareshwar,Locally known as Trishrota/Bhramari Devi in Jalpaiguri near a small village Boda on the bank of river Teesta or Tri-shrota (combination of three flows) mentioned in Puranas,"Jalpaiguri, Jalpaiguri, West Bengal, India"
22,"Manas, under Tibet at the foot of Mount Kailash in Lake Manasarovar, a piece of Stone",China,Right hand,Dakshayani Devi,Amareshwar,"Manas, under Tibet at the foot of Mount Kailash in Lake Manasarovar, a piece of Stone"," Mount Kailash, Tibet, China"
23,"Manibandh, at Gayatri hills near Pushkar 11 km north-west of Ajmer. People know this temple as Chamunda Mata Temple or Shri Raj Rajeshwari Puruhuta Manivedic Shaktipitha.",Rajasthan,Wrists,Gayatri Devi,Sarvanandeshwar,"Manibandh, at Gayatri hills near Pushkar 11 km north-west of Ajmer. People know this temple as Chamunda Mata Temple or Shri Raj Rajeshwari Puruhuta Manivedic Shaktipitha.","Pushkar, Ajmer, Rajasthan, India"
24,"Mithila, near Janakpur railway station on the border of India and Nepal",Nepal,Left shoulder,Uma Devi,Mahodareshwar,"Mithila, near Janakpur railway station on the border of India and Nepal","Janakpur, Madhesh Province, Nepal"
25,"Nainativu (Manipallavam), Northern Province, Sri Lanka. Located 36 km from the ancient capital of the Jaffna kingdom, Nallur. The murti of the Goddess is believed to have been consecrated and worshipped by Indra. The protagonist, Lord Rama and antagonist, Ravana of the Sanskrit epic Ramayana have offered obeisances to the Goddess. Nāga and Garuda of the Sanskrit epic Mahabharata; resolved their longstanding feuds after worshipping this Goddess.",Sri Lanka,Silambu (Anklets),Indrakshi (Nagapooshani / Bhuvaneshvari),Rakshaseshwar (Nayanair),"Nainativu (Manipallavam), Northern Province, Sri Lanka. Located 36 km from the ancient capital of the Jaffna kingdom, Nallur. The murti of the Goddess is believed to have been consecrated and worshipped by Indra. The protagonist, Lord Rama and antagonist, Ravana of the Sanskrit epic Ramayana have offered obeisances to the Goddess. Nāga and Garuda of the Sanskrit epic Mahabharata; resolved their longstanding feuds after worshipping this Goddess.","Jaffna Peninsula, Northern Province, Srilanka"
26,Guhyeshwari Temple,Nepal,Both knees,Mahashira Devi,Kapalishwar,Guhyeshwari Temple,"Kathmandu, Nepal"
27,Chattal Bhawani Shaktipeeth/Chandranath Temple,Chittagong-Bangladesh,upper teeth,Chattal Bhawani Devi,Chandrashekhar,Chattal Bhawani Shaktipeeth/Chandranath Temple,"Chittagong, Bangladesh"
28,Panchsagar Near Lohaghat (in Champawat District of Uttarakhand) just 12 km from nearest railway station Tanakpur. पूर्णागिरी Champawat Varahi Devi,Uttarakhand,Lower teeth/ Navel,Varahi Devi,Maharudra,Panchsagar Near Lohaghat (in Champawat District of Uttarakhand) just 12 km from nearest railway station Tanakpur. पूर्णागिरी Champawat Varahi Devi,"Champawat District, Uttarakhand, India"
29,"Near Somnath temple, Veraval, Gir Somnath district. Local People call this temple as Kali Mandir, It is nearby Triveni Sangam.[29]",Gujarat,Stomach,Chandrabhaga,Vakratundeshwar,"Near Somnath temple, Veraval, Gir Somnath district. Local People call this temple as Kali Mandir, It is nearby Triveni Sangam.[29]","Veraval, Gir Somnath, Gujarat, India"
30,Alopi Devi Mandir near Sangam at Prayagraj,Uttar Pradesh,Finger,Lalita Devi,Bhaveshwar,Alopi Devi Mandir near Sangam at Prayagraj,"Alopibagh, Prayagraj, Uttar Pradesh, India"
31,Present day Kurukshetra town or Thanesar ancient Sthaneshwar,Haryana,Ankle bone,Bhadrakali Devi,Sthanu,Present day Kurukshetra town or Thanesar ancient Sthaneshwar,"Kurukshetra, Kurukshetra, Haryana, India"
32,"Maa Sharda Mandir on top Trikoot Hill, at Maihar",Madhya Pradesh,necklace[30],Shivani Devi,Chandeshwar,"Maa Sharda Mandir on top Trikoot Hill, at Maihar","Maihar, Madhya Pradesh, India"
33,Nandikeshwari Temple is located in Sainthia city,West Bengal,Necklace,Nandini,Nandikeshwar,Nandikeshwari Temple is located in Sainthia city,"Sainthia, Birbhum, West Bengal, India"
34,(Manikya Amba Shaktipeeth / Bheemeswara Swami Temple) Draksharamam Kakinada,Andhra Pradesh,Navel,Manikyamba,Bheemeshwar,(Manikya Amba Shaktipeeth / Bheemeswara Swami Temple) Draksharamam Kakinada,"Draksharamam, Konaseema, Andhra Pradesh, India"
35,Naina Devi Temple,Himachal Pradesh,Right eye,Mahishamardini Devi,Krodhishwar,Naina Devi Temple,"Mata Naina Devi, Bilaspur, Himachal Pradesh, India"
36,"Shondesh/Shon/Maa Narmada temple, at the source point of Narmada River in Amarkantak",Madhya Pradesh,Right buttock,Narmada,Bhadraseneshwar,"Shondesh/Shon/Maa Narmada temple, at the source point of Narmada River in Amarkantak","Amarkantak, Madhya Pradesh, India"
37,"Srisailam, at Nallamala hills, Andhra Pradesh","Andhra Pradesh, India",Neck,Bhramarambika Devi,Mallikarjuna,"Srisailam, at Nallamala hills, Andhra Pradesh","Srisailam, Nandyal, Andhra Pradesh, India"
38,"Shuchi, in a Shiva temple at Suchindrum 11 km on Kanyakumari Trivandrum road",Tamil Nadu,Upper teeth,Narayani,Sihareshwar,"Shuchi, in a Shiva temple at Suchindrum 11 km on Kanyakumari Trivandrum road"," Kanyakumari, Tamil Nadu, India"
39,"Sugandha, situated in Shikarpur, Gournadi, about 20 km from Barisal town, on the banks of Sonda river.8",Bangladesh,Nose,Sugandha,Trayambakeshwar,"Sugandha, situated in Shikarpur, Gournadi, about 20 km from Barisal town, on the banks of Sonda river.8","Shikarpur village, Barisal District, Bangladesh"
