Sr. No.,Place,State in India/Country,Body part or ornament,Shakti,Bhairava,Location,Latitude,Longitude
1,"A. Amarnath Temple, from Srinagar through Pahalgam 94 km by Bus, Chandanwari 16 km by walk B. Shri Parvat in Ladakh",Jammu and Kashmir,Throat,Mahamaya Devi,Trisandhyeshwar (Amarnath),"Pahalgam, Jammu and Kashmir, India",34.0144858,75.3285164
1,"A. Amarnath Temple, from Srinagar through Pahalgam 94 km by Bus, Chandanwari 16 km by walk B. Shri Parvat in Ladakh",Jammu and Kashmir,Anklet,Mahamaya Devi,Trisandhyeshwar (Amarnath),"Ladakh, Jammu and Kashmir, India",33.277839,75.341218
2,Attahas Temple – At a village also named as Attahas or Ashtahas around 2 km east of Labhpur village road in the district of Birbhum,West Bengal,Lips,Phullara Devi,Vishveshwar,"Labhpur, Birbhum, West Bengal, India",23.8152993,87.8000825
3,"Bahula Temple at Ketugram, 8 km from Katwa, Purba Bardhaman",West Bengal,Left arm,Goddess Bahuladevi,Bhirukeshwar[27],"Purba Bardhaman, West Bengal, India",23.7008699,88.0473103
4,"Bakreshwar, on the banks of Paaphara river, 24 km distance from Siuri Town [a district headquarter], district Birbhum, 7 km from Dubrajpur Rly. Station",West Bengal,Portion between the eyebrows,Mahishamardini devi,Vakranatheshwar,"Siuri, Birbhum, West Bengal, India",23.9080538,87.5277255
5,"Avanti, also known as Harsiddhi, at Bhairav hills on the banks of Shipra river in the city of Ujjaini.",Madhya Pradesh,Elbow,Avanti Devi,Lambkarneshwar,"Ujjaini, Madhya Pradesh, India",22.6466537,75.9926784
6,"Bhabanipur, located in the Upazila of Sherpur, Bogra, Rajshahi Division. Also located at Karatoyatat, it is about 28 km distance from the town of Sherpur.","Rajshahi Division, Bangladesh",Left anklet (ornament),Aparna Devi,Vamaneshwar,"Bogra , Rajshahi Division, Bangladesh",24.6354046,89.4281833
7,"Biraja Temple at Jajpur, in Jajpur District",Odisha,Navel,Biraja Devi,Varaheshwar (Baraha),"Jajpur, Odisha, India",20.8522696,86.3385714
8,Muktinath Temple[28],Nepal,Head,Gandaki Chandi,Chakrapani,"Mustang, Nepal",28.9481332,83.900569
9,Goddess Bhadrakali on banks of Godavari in Nashik city (Saptashrungi),Maharashtra,Chin (2 parts),Bhadrakali devi,Vikritaksheshwar,"Nashik, Maharashtra, India",20.0112475,73.7902364
10,Hinglaj Mata Temple,Pakistan,Bramharandhra (Part of the head),Kottari Devi,Bhimalochaneshwar,"Lasbela, Balochistan, Pakistan",25.5148718,65.5193626
11,Jayanti at Nartiang village in the Jaintia Hills district. This Shakta pitha is locally known as the Nartiang Durga Temple.,Meghalaya,Left thigh,Jayanti Devi,Kramadishwar,"Jaintia Hills, Meghalaya, India",25.5,92.25
12,Jeshoreshwari Kali Temple,Bangladesh,Palms of hands and soles of the feet,Jashoreshwari,Chandeshwar,"Ishwaripur, Satkhira, Bangladesh",22.295552,89.103878
13,"Jwalaji, Kangra from Pathankot alight at Jwalamukhi Road Station from there 20 km",Himachal Pradesh,Tongue,Jwalamukhi (Ambika),Unmatta Bhairaveshwar,"Kangra, Himachal Pradesh, India",32.0768665,76.2985872
14,"Kalipeeth, (Kalighat, Kolkata)",West Bengal,Right toes,Kali Devi,Nakuleshwar,"Kalighat, Kolkata, West Bengal, India",22.5153313,88.3477052
15,"Kamgiri, Kamakhya, in the Neelachal hills in Guwahati",Assam,Genitals,Kamakhya Devi,Umanandeshwar or Bhayanandeshwar,"Guwahati, Assam, India",26.167514,91.71107
16,"Kankalitala, on the banks of Kopai River 10 km north-east of Bolpur station in Birbhum district, Devi locally known as Kankaleshwari",West Bengal,waist,Devgarbha Devi,Rurunatheshwar,"Bolpur, Birbhum, West Bengal, India",23.661154,87.6962424
17,"A Kanyashram of Balaambika – The Bhagavathy temple in Kanyakumari, the southernmost tip of mainland India, Tamil Nadu",Tamil Nadu,Back,Sarvani,Nimisheshwar,"Kanniyakumari, Tamil Nadu, India",8.0879641,77.5467414
18,"Vajreshwari Temple, Nagarkot, district Kangra",Himachal Pradesh,left Breast,Jayadurga Devi,Abhirunatheshwar,"Kangra, Himachal Pradesh, India",32.085182,76.511784
19,"Kiriteswari Temple at Kiritkona village, 3 km from Lalbag Court Road railway station in Murshidabad district",West Bengal,Crown,Vimala Devi,Sanvarteshwar,"Murshidabad, West Bengal, India",24.098644,88.255929
20,"Ratnavali, on the banks of Ratnakar river at Khanakul I Krishnanagar, district Hooghly (locally known as Anandamayee Tala)",West Bengal,Right Shoulder,Kumari Devi,Ghanteshwar,"Hooghly, West Bengal, India",22.7300386,87.8684678
21,Locally known as Trishrota/Bhramari Devi in Jalpaiguri near a small village Boda on the bank of river Teesta or Tri-shrota (combination of three flows) mentioned in Puranas,West Bengal,Left leg,Bhramari Devi,Ambareshwar,"Jalpaiguri, West Bengal, India",26.5241586,88.7197513
